LAD13CD,LAD13CDO,LAD13NM,NUTS315CD,NUTS315NM,NUTS215CD,NUTS215NM,NUT115CD,NUTS115NM,FID
E08000009,00BU,Trafford,UKD34,Greater Manchester South West,UKD3,Greater Manchester,UKD,North West (England),266
E08000010,00BW,Wigan,UKD36,Greater Manchester North West,UKD3,Greater Manchester,UKD,North West (England),267
E08000011,00BX,Knowsley,UKD71,East Merseyside,UKD7,Merseyside,UKD,North West (England),268
E08000012,00BY,Liverpool,UKD72,Liverpool,UKD7,Merseyside,UKD,North West (England),269
E08000013,00BZ,St. Helens,UKD71,East Merseyside,UKD7,Merseyside,UKD,North West (England),270
E08000014,00CA,Sefton,UKD73,Sefton,UKD7,Merseyside,UKD,North West (England),271
E08000015,00CB,Wirral,UKD74,Wirral,UKD7,Merseyside,UKD,North West (England),272
E08000016,00CC,Barnsley,UKE31,"Barnsley, Doncaster and Rotherham",UKE3,South Yorkshire,UKE,Yorkshire and The Humber,273
E08000017,00CE,Doncaster,UKE31,"Barnsley, Doncaster and Rotherham",UKE3,South Yorkshire,UKE,Yorkshire and The Humber,274
E08000018,00CF,Rotherham,UKE31,"Barnsley, Doncaster and Rotherham",UKE3,South Yorkshire,UKE,Yorkshire and The Humber,275
E08000019,00CG,Sheffield,UKE32,Sheffield,UKE3,South Yorkshire,UKE,Yorkshire and The Humber,276
E08000021,00CJ,Newcastle upon Tyne,UKC22,Tyneside,UKC2,Northumberland and Tyne and Wear,UKC,North East (England),277
E08000022,00CK,North Tyneside,UKC22,Tyneside,UKC2,Northumberland and Tyne and Wear,UKC,North East (England),278
E08000023,00CL,South Tyneside,UKC22,Tyneside,UKC2,Northumberland and Tyne and Wear,UKC,North East (England),279
E08000024,00CM,Sunderland,UKC23,Sunderland,UKC2,Northumberland and Tyne and Wear,UKC,North East (England),280
E08000025,00CN,Birmingham,UKG31,Birmingham,UKG3,West Midlands,UKG,West Midlands (England),281
E08000026,00CQ,Coventry,UKG33,Coventry,UKG3,West Midlands,UKG,West Midlands (England),282
E08000027,00CR,Dudley,UKG36,Dudley,UKG3,West Midlands,UKG,West Midlands (England),283
E08000028,00CS,Sandwell,UKG37,Sandwell,UKG3,West Midlands,UKG,West Midlands (England),284
E08000029,00CT,Solihull,UKG32,Solihull,UKG3,West Midlands,UKG,West Midlands (England),285
E08000030,00CU,Walsall,UKG38,Walsall,UKG3,West Midlands,UKG,West Midlands (England),286
E08000031,00CW,Wolverhampton,UKG39,Wolverhampton,UKG3,West Midlands,UKG,West Midlands (England),287
